Year,Rank,GPA,Department
1,1,4,BME
1,1,4,BME
1,1,4,BME
1,1,4,BME
1,1,4,BME
1,1,4,BME
1,1,4,BME
1,1,4,CSE
1,1,4,CSE
1,1,4,CSE
1,1,4,CSE
1,1,4,CSE
1,1,4,CSE
1,1,4,CSE
1,1,4,CSE
1,1,4,CSE
1,1,4,CSE
1,1,4,CSE
1,1,4,CSE
1,1,4,CSE
1,1,4,CSE
1,1,4,CSE
1,1,4,CSE
1,1,4,CSE
1,1,4,CSE
1,1,4,CSE
1,1,4,CSE
1,1,4,CSE
1,1,4,CSE
1,1,4,CSE
1,1,4,CSE
1,1,4,ENTC
1,1,4,ENTC
1,1,4,ENTC
1,1,4,ENTC
1,1,4,ENTC
1,1,4,ENTC
1,1,4,ENTC
1,1,4,ENTC
1,1,4,ENTC
1,1,4,ENTC
1,1,4,ENTC
1,1,4,ENTC
1,1,4,ENTC
1,1,4,ENTC
1,1,4,ENTC
1,1,4,ENTC
1,1,4,ENTC
1,1,4,ENTC
1,1,4,ENTC
1,1,4,ENTC
1,1,4,ENTC
1,1,4,ENTC
1,1,4,ENTC
1,1,4,ENTC
1,1,4,ENTC
1,1,4,ENTC
1,1,4,ENTC
1,1,4,ENTC
1,1,4,ENTC
1,1,4,ME
1,1,4,ME
1,1,4,ME
1,64,3.96,BME
1,64,3.96,BME
1,64,3.96,CE
1,64,3.96,CSE
1,64,3.96,CSE
1,64,3.96,CSE
1,64,3.96,CSE
1,64,3.96,CSE
1,64,3.96,CSE
1,64,3.96,CSE
1,64,3.96,CSE
1,64,3.96,CSE
1,64,3.96,CSE
1,64,3.96,CSE
1,64,3.96,CSE
1,64,3.96,EE
1,64,3.96,ENTC
1,64,3.96,ENTC
1,64,3.96,ENTC
1,64,3.96,ENTC
1,64,3.96,ENTC
1,64,3.96,ENTC
1,64,3.96,ENTC
1,64,3.96,ENTC
1,64,3.96,ENTC
1,64,3.96,ENTC
1,64,3.96,MSE
1,64,3.96,MSE
1,64,3.96,ME
1,93,3.95,BME
1,93,3.95,CSE
1,93,3.95,CSE
1,93,3.95,ENTC
1,97,3.94,BME
1,97,3.94,CE
1,97,3.94,CSE
1,97,3.94,CSE
1,97,3.94,CSE
1,97,3.94,CSE
1,97,3.94,CSE
1,97,3.94,ENTC
1,97,3.94,ENTC
1,97,3.94,ENTC
1,97,3.94,ENTC
1,97,3.94,ENTC
1,97,3.94,ME
1,110,3.93,CE
1,111,3.91,BME
1,111,3.91,CSE
1,111,3.91,ENTC
1,111,3.91,ENTC
1,115,3.9,BME
1,115,3.9,CSE
1,115,3.9,CSE
1,115,3.9,CSE
1,115,3.9,CSE
1,115,3.9,CSE
1,115,3.9,CSE
1,115,3.9,ENTC
1,123,3.89,BME
1,123,3.89,CSE
1,123,3.89,CSE
1,123,3.89,CSE
1,123,3.89,CSE
1,123,3.89,CSE
1,123,3.89,ENTC
1,123,3.89,ENTC
1,123,3.89,ENTC
1,123,3.89,ENTC
1,123,3.89,ENTC
1,123,3.89,ENTC
1,123,3.89,ENTC
1,123,3.89,ENTC
1,123,3.89,ENTC
1,123,3.89,ME
1,139,3.88,CSE
1,139,3.88,CSE
1,141,3.88,CSE
1,142,3.87,ENTC
1,143,3.86,BME
1,143,3.86,CSE
1,143,3.86,CSE
1,143,3.86,CSE
1,143,3.86,ENTC
1,143,3.86,ENTC
1,149,3.85,CE
1,149,3.85,CSE
1,149,3.85,CSE
1,149,3.85,ENTC
1,149,3.85,ENTC
1,149,3.85,ENTC
1,149,3.85,ENTC
1,149,3.85,ENTC
1,149,3.85,ME
1,149,3.85,ME
1,159,3.84,CSE
1,159,3.84,CSE
1,159,3.84,CSE
1,159,3.84,CSE
1,159,3.84,CSE
1,159,3.84,EE
1,159,3.84,ENTC
1,159,3.84,ENTC
1,159,3.84,ENTC
1,159,3.84,ENTC
1,169,3.81,CSE
1,169,3.81,CSE
1,171,3.81,CSE
1,171,3.81,ENTC
1,171,3.81,ENTC
1,171,3.81,ENTC
1,171,3.81,ENTC
1,176,3.79,CSE
1,176,3.79,CSE
1,182,3.79,CSE
1,176,3.79,EE
1,176,3.79,ENTC
1,176,3.79,ENTC
1,176,3.79,ME
1,183,3.78,ENTC
1,184,3.77,CSE
1,186,3.77,CSE
1,186,3.77,CSE
1,186,3.77,CSE
1,184,3.77,ENTC
1,186,3.77,ENTC
1,195,3.76,CHEM
1,190,3.76,CSE
1,190,3.76,CSE
1,190,3.76,CSE
1,195,3.76,CSE
1,190,3.76,ENTC
1,190,3.76,ENTC
1,195,3.76,ME
1,198,3.75,CSE
1,198,3.75,CSE
1,198,3.75,CSE
1,198,3.75,CSE
1,198,3.75,CSE
1,198,3.75,EE
1,198,3.75,EE
1,198,3.75,ENTC
1,198,3.75,ENTC
1,198,3.75,ENTC
1,198,3.75,ENTC
1,198,3.75,ENTC
1,198,3.75,ME
1,211,3.74,CE
1,211,3.74,CE
1,211,3.74,ENTC
1,211,3.74,ENTC
1,211,3.74,ENTC
1,211,3.74,ENTC
1,217,3.73,CSE
1,218,3.72,CSE
1,219,3.72,ENTC
1,222,3.71,CE
1,222,3.71,CE
1,222,3.71,CSE
1,222,3.71,CSE
1,222,3.71,CSE
1,222,3.71,CSE
1,222,3.71,CSE
1,222,3.71,CSE
1,222,3.71,CSE
1,222,3.71,EE
1,220,3.71,ENTC
1,220,3.71,ENTC
1,232,3.7,CSE
1,232,3.7,EE
1,232,3.7,ENTC
1,232,3.7,ENTC
1,232,3.7,ENTC
1,238,3.69,CE
1,237,3.69,CSE
1,238,3.69,ME
1,238,3.69,ME
1,241,3.68,EE
1,241,3.68,ENTC
1,243,3.67,CSE
1,244,3.66,CHEM
1,244,3.66,CSE
1,244,3.66,CSE
1,244,3.66,CSE
1,244,3.66,CSE
1,254,3.66,CSE
1,244,3.66,ENTC
1,244,3.66,ENTC
1,244,3.66,ENTC
1,244,3.66,ENTC
1,244,3.66,ME
1,255,3.65,CSE
1,255,3.65,CSE
1,255,3.65,CSE
1,255,3.65,CSE
1,255,3.65,CSE
1,255,3.65,EE
1,255,3.65,ME
1,262,3.64,CSE
1,262,3.64,CSE
1,262,3.64,CSE
1,262,3.64,CSE
1,262,3.64,CSE
1,262,3.64,CSE
1,262,3.64,EE
1,262,3.64,EE
1,262,3.64,EE
1,262,3.64,ME
1,272,3.64,ME
1,273,3.63,CSE
1,274,3.63,CSE
1,275,3.62,CSE
1,276,3.62,CSE
1,276,3.62,CSE
1,276,3.62,CSE
1,279,3.61,CE
1,281,3.61,CSE
1,282,3.61,CSE
1,282,3.61,CSE
1,282,3.61,CSE
1,282,3.61,CSE
1,282,3.61,CSE
1,279,3.61,MSE
1,282,3.61,ME
1,282,3.61,ME
1,289,3.6,CHEM
1,289,3.6,CE
1,289,3.6,CSE
1,289,3.6,CSE
1,289,3.6,CSE
1,289,3.6,CSE
1,289,3.6,CSE
1,289,3.6,EE
1,289,3.6,ME
1,298,3.59,CE
1,298,3.59,CE
1,300,3.59,CSE
1,300,3.59,EE
1,302,3.58,CHEM
1,302,3.58,CE
1,309,3.58,CE
1,302,3.58,CSE
1,302,3.58,CSE
1,302,3.58,CSE
1,302,3.58,EE
1,302,3.58,EE
1,310,3.57,CSE
1,311,3.56,CSE
1,311,3.56,CSE
1,311,3.56,CSE
1,311,3.56,CSE
1,317,3.56,CSE
1,311,3.56,ME
1,311,3.56,ME
1,317,3.56,ME
1,323,3.55,CE
1,319,3.55,CSE
1,319,3.55,CSE
1,319,3.55,CSE
1,319,3.55,CSE
1,324,3.54,CSE
1,324,3.54,CSE
1,327,3.54,CSE
1,328,3.54,CSE
1,328,3.54,CSE
1,328,3.54,CSE
1,328,3.54,EE
1,324,3.54,ME
1,332,3.53,CSE
1,334,3.52,CE
1,333,3.52,CSE
1,334,3.52,CSE
1,334,3.52,CSE
1,334,3.52,CSE
1,334,3.52,CSE
1,334,3.52,CSE
1,342,3.51,CE
1,340,3.51,CSE
1,340,3.51,CSE
1,342,3.51,CSE
1,342,3.51,ME
1,345,3.5,CSE
1,345,3.5,CSE
1,345,3.5,CSE
1,345,3.5,CSE
1,345,3.5,EE
1,345,3.5,EE
1,351,3.49,CE
1,351,3.49,CSE
1,351,3.49,CSE
1,351,3.49,EE
1,356,3.49,EE
1,355,3.49,ME
1,357,3.47,CSE
1,358,3.47,CSE
1,360,3.46,CE
1,359,3.46,CSE
1,360,3.46,CSE
1,360,3.46,CSE
1,360,3.46,EE
1,364,3.45,CSE
1,364,3.45,EE
1,368,3.44,CE
1,366,3.44,CSE
1,368,3.44,CSE
1,368,3.44,CSE
1,368,3.44,CSE
1,368,3.44,CSE
1,366,3.44,EE
1,368,3.44,EE
1,368,3.44,ME
1,375,3.43,CSE
1,375,3.43,CSE
1,377,3.43,CSE
1,378,3.41,CSE
1,378,3.41,CSE
1,380,3.41,CSE
1,380,3.41,CSE
1,382,3.41,CSE
1,383,3.41,CSE
1,383,3.41,CSE
1,385,3.41,CSE
1,385,3.41,CSE
1,385,3.41,EE
1,385,3.41,ME
1,389,3.4,CSE
1,390,3.39,CE
1,390,3.39,CSE
1,390,3.39,CSE
1,390,3.39,CSE
1,390,3.39,CSE
1,390,3.39,CSE
1,390,3.39,EE
1,398,3.38,CSE
1,398,3.38,CSE
1,397,3.38,EE
1,401,3.37,CSE
1,400,3.37,EE
1,402,3.37,EE
1,403,3.36,EE
1,403,3.36,ME
1,405,3.35,EE
1,405,3.35,ME
1,408,3.34,CHEM
1,410,3.34,CE
1,407,3.34,EE
1,408,3.34,EE
1,410,3.34,EE
1,412,3.33,CE
1,412,3.33,EE
1,412,3.33,EE
1,415,3.32,CE
1,418,3.31,CHEM
1,418,3.31,CHEM
1,416,3.31,EE
1,416,3.31,EE
1,418,3.31,EE
1,421,3.3,EE
1,421,3.3,EE
1,421,3.3,ME
